"Kontrat","GÖEM","GÝEM","GEEM","TOPLAM"
"GG20200730","14.513","2.137","373","17.023"
"GG20200731","10.257","1.364","301","11.922"
"GG20200801","6.442","1.095","233","7.770"
"GG20200802","6.254","1.152","113","7.519"
"GG20200803","10.072","1.640","209","11.921"
"GG20200804","8.385","1.518","1.099","11.002"
"GG20200805","13.842","900","392","15.134"
"GG20200806","14.652","500","394","15.546"
"GG20200807","16.469","125","192","16.786"
"GG20200808","15.233","170","697","16.100"
"GG20200809","11.232","1.838","139","13.209"
"GG20200810","14.132","2.733","308","17.173"
"GG20200811","3.273","0","141","3.414"
"GG20200812","3.994","60","283","4.337"
"GG20200813","1.427","0","2.280","3.707"
"GG20200814","1.778","70","290","2.138"
"GG20200815","3.542","610","169","4.321"
"GG20200816","4.246","336","149","4.731"
"GG20200817","3.592","750","181","4.523"
"GG20200818","3.782","230","224","4.236"
"GG20200819","8.725","125","399","9.249"
"GG20200820","4.331","719","241","5.291"
"GG20200821","3.578","481","145","4.204"
"GG20200822","4.121","800","169","5.090"
"GG20200823","5.106","200","95","5.401"
"GG20200824","4.307","140","583","5.030"
"GG20200825","4.567","465","198","5.230"
"GG20200826","2.832","110","265","3.207"
"GG20200827","3.106","200","90","3.396"
"GG20200828","3.989","222","263","4.474"
"GG20200829","3.171","120","141","3.432"
"GG20200830","3.770","513","62","4.345"
"GG20200831","3.214","114","151","3.479"
"GG20200901","5.158","275","292","5.725"
"GG20200902","2.642","298","157","3.097"
"GG20200903","2.747","603","56","3.406"
"GG20200904","2.835","339","153","3.327"
"GG20200905","2.311","334","64","2.709"
"GG20200906","2.672","50","56","2.778"
"GG20200907","2.536","573","200","3.309"
"GG20200908","2.338","300","248","2.886"
"GG20200909","2.500","60","167","2.727"
"GG20200910","2.252","448","481","3.181"
"GG20200911","2.351","880","110","3.341"
"GG20200912","4.045","930","146","5.121"
"GG20200913","4.055","465","191","4.711"
"GG20200914","2.618","248","205","3.071"
"GG20200915","2.451","784","245","3.480"
"GG20200916","3.425","210","420","4.055"
"GG20200917","2.464","245","232","2.941"
"GG20200918","2.609","394","68","3.071"
"GG20200919","2.093","250","205","2.548"
"GG20200920","2.335","887","202","3.424"
"GG20200921","2.248","647","332","3.227"
"GG20200922","3.188","189","141","3.518"
"GG20200923","2.487","755","303","3.545"
"GG20200924","2.701","369","257","3.327"
"GG20200925","2.799","343","86","3.228"
"GG20200926","2.544","172","66","2.782"
"GG20200927","1.959","0","193","2.152"
"GG20200928","2.473","0","383","2.856"
"GG20200929","3.133","654","151","3.938"
"GG20200930","2.814","450","314","3.578"
"GG20201001","2.750","620","404","3.774"
"GG20201002","3.270","380","291","3.941"
"GG20201003","5.758","293","155","6.206"
"GG20201004","7.700","286","263","8.249"
"GG20201005","8.564","341","162","9.067"
"GG20201006","7.629","307","208","8.144"
"GG20201007","7.798","270","381","8.449"
"GG20201008","8.429","271","381","9.081"
"GG20201009","11.136","298","282","11.716"
"GG20201010","11.359","440","209","12.008"
"GG20201011","13.030","640","623","14.293"
"GG20201012","11.943","137","258","12.338"
"GG20201013","12.345","125","288","12.758"
"GG20201014","10.556","1.982","369","12.907"
"GG20201015","12.477","232","570","13.279"
"GG20201016","10.475","431","225","11.131"
"GG20201017","12.786","470","295","13.551"
"GG20201018","11.922","50","334","12.306"
"GG20201019","12.328","344","209","12.881"
"GG20201020","14.112","582","476","15.170"
"GG20201021","12.888","760","425","14.073"
"GG20201022","12.324","1.120","100","13.544"
"GG20201023","12.245","1.185","581","14.011"
"GG20201024","8.341","692","249","9.282"
"GG20201025","6.100","640","297","7.037"
"GG20201026","6.201","390","749","7.340"
"GG20201027","8.105","150","505","8.760"
"GG20201028","14.295","147","233","14.675"
"GG20201029","13.794","310","855","14.959"
"GG20201030","8.021","936","228","9.185"
"GG20201031","4.532","216","124","4.872"
"GG20201101","2.420","345","590","3.355"
"GG20201102","8.002","1.590","381","9.973"
"GG20201103","8.939","125","110","9.174"
"GG20201104","5.741","1.604","389","7.734"
"GG20201105","4.451","102","352","4.905"
"GG20201106","4.221","265","252","4.738"
"GG20201107","3.099","529","416","4.044"
"GG20201108","3.284","344","113","3.741"
"GG20201109","4.660","804","1.707","7.171"
"GG20201110","3.064","969","2.126","6.159"
"GG20201111","3.444","1.732","278","5.454"
"GG20201112","5.159","725","593","6.477"
"GG20201113","4.136","3.104","223","7.463"
"GG20201114","4.631","190","273","5.094"
"GG20201115","3.699","53","162","3.914"
"GG20201116","1.605","445","380","2.430"
"GG20201117","2.404","200","218","2.822"
"GG20201118","2.449","0","105","2.554"
"GG20201119","1.577","575","692","2.844"
"GG20201120","1.748","1.510","350","3.608"
"GG20201121","1.866","757","154","2.777"
